ID,Sílaba,Contexto,Find,Replace,Exemplo
A1,"ˈCV, ˈCṼ, ˈCVG, ˈCCV","Seleciona a posição anterior a sequência CV, CṼ, CVG, CṼG e CCV com vogal acentuada, à exceção de <r>",(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|q|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)[áàâãéèêíìîóòôúùû]),ˈ,Origin Word: pé -> Processed Word: ˈpé
A2,"ˈCV, ˈCṼ","Seleciona a posição anterior a <r> não precedido por <p>, <b>, <t>, <d>, <c>, <g>, <f>, <v> e <r> e seguido de vogal acentuada",(?<![pbtdcgfvr])(?=r[áàâãéèêíìîóòôúùû]),ˈ,Origin Word: rádio -> Processed Word: ˈrádio
A3,"ˈCV, ˈCṼ",Seleciona a posição anterior a <s> não precedido por <s> e seguido de vogal acentuada,(?<!s)(?=s[áàâãéèêíìîóòôúùû]),ˈ,Origin Word: sábado -> Processed Word: ˈsábado
A4,"^ˈV, ^ˈVC",Seleciona a posição anterior à vogal acentuada em início de palavra,(?=^[áàâéèêíìîóòôúùû]),ˈ,Origin Word: água -> Processed Word: ˈágua
A5,V.ˈṼG,Seleciona a fronteira entre V e sequência ṼG,(?<=[aeiou])(?=(ão)),ˈ,Origin Word: leão -> Processed Word: leˈão
A6,V.ˈVC,Seleciona a fronteira silábica entre sequência vocálica <a.í> e <a.ú> seguidos de consoante em coda final,(?<=a)(?=[íú]),ˈ,Origin Word: país -> Processed Word: paˈís
A7,"ˈCVC, ˈCVGC, ˈCCVC","Seleciona a posição anterior a  CVC, CVGC, CCVC, à exceção de <h>, <l>, <r> e <s> em ataque silábico, terminadas em consoante",(?<!ˈ.*)(?=(b|c|ç|d|f|gu|g|ch|nh|lh|j|m|n|p|qu|rr|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(a|e|i|o|u|ei|oi|ui|ao|au|eu|iu)[rlsz]$),ˈ,Origin Word: natal -> Processed Word: naˈtal
A8,ˈCVC,"Seleciona a fronteira entre V  e sequência CVC com <r> em ataque silábico, terminada em consoante",(?<!ˈ.*)(?<![pbtdcgfvr])(?=r(a|e|i|o|u|ei|oi|ui|ao|au|eu|iu|ou)[rlsz]$),ˈ,Origin Word: adorar -> Processed Word: adoˈrar
A9,ˈCVC,"Seleciona a fronteira entre V  e sequência CVC com <l> em ataque silábico, terminada em consoante",(?<!ˈ.*)(?<![pbtdcgfv])(?=l(a|e|i|o|u|ei|oi|ui|ao|au|eu|iu|ou)[rlsz]$),ˈ,Origin Word: falar -> Processed Word: faˈlar
A10,ˈCVC,"Seleciona a fronteira entre V  e sequência CVC com <s> em ataque silábico, terminada em consoante",(?<!ˈ.*)(?<!s)(?=s(a|e|i|o|u|ei|oi|ui|ao|au|eu|iu|ou)[rlsz]$),ˈ,Origin Word: pensar -> Processed Word: penˈsar
