ID,Contexto fonético,Find,Replace,Exemplo
T1,Seleciona todos os hífens e substitui-os por um espaço em branco,-,,Origin Word: bom-ˈdia -> Processed Word: bom ˈdia
T2,"Seleciona e exclui todos os <h>, exceto os que se encontram precedidos por <c>, <l> ou <n>",(?<![cln])h,,Origin Word: ˈhora -> Processed Word: ˈora
T3,"Seleciona todos os <e> seguidos de sílaba iniciada por vogal [a, ɐ, ɐ̃, e, ɛ, o, ɔ, õ] tónica",e(?=ˈ[aáâãeéêoóôõ]),i,Origin Word: passeˈar -> Processed Word: passiˈar
T4,"Seleciona todos os <e> seguidos de sílaba iniciada por vogal  [a, ɐ, ɐ̃, e, ɛ, o, ɔ, õ] ",e(?=[aáâãeéêoóôõ]),i,Origin Word: ˈárea -> Processed Word: ˈária
T5,"Seleciona todos os <o> pretónicos, à exceção dos que se encontram em início de palavra, que são seguidos por marcador de nasalidade <m> ou <n>, por <l> em coda, por glide <i> ou <u> ou por marcador de sílaba tónica",(?<!^)o(?![mnliu][ˈ bcçdfhgjlmnpqrstvxz])(?=.*ˈ),u,Origin Word: toˈmar -> Processed Word: tuˈmar
T6,"Seleciona todos os <a> pretónicos, à exceção dos que se encontram em início de palavra, que são seguidos por marcador de nasalidade <m> ou <n>, por <l> em coda, por glide <i> ou <u> ou por marcador de sílaba tónica",(?<!^)a(?![mnliou][ˈ bcçdfhgjlmnpqrstvxz])(?=.*ˈ),ɐ,Origin Word: saˈber -> Processed Word: sɐˈber
T7,"Seleciona todos os <e> pretónicos, à exceção dos que se encontram em início de palavra, que são seguidos por marcador de nasalidade <m> ou <n>, por <l> em coda, por glide <i> ou <u> ou por marcador de sílaba tónica",(?<!^)e(?![mnliou][ˈ bcçdfhgjlmnpqrstvxz])(?=.*ˈ),ɨ,Origin Word: seˈcar -> Processed Word: sɨˈcar
T8,"Seleciona todos os <o> finais, à exceção dos que se encontram antecedidos por <ã> ou por marcador silábico",(?<![ãˈ])o$,u,Origin Word: ˈgolo -> Processed Word: ˈgolu
T9,"Seleciona todos os <a> finais, à exceção dos que se encontram antecedidos por marcador silábico",(?<!ˈ)a$,ɐ,Origin Word: ˈgota -> Processed Word: ˈgotɐ
T10,"Seleciona todos os <a> finais, à exceção dos que se encontram antecedidos por <ã>",(?<!ã)e$,ɨ,Origin Word: ˈbife -> Processed Word: ˈbifɨ
T11,"Seleciona todos os <o> postónicos em interior de palavra depois das sequências silábicas ˈCV, ˈCCV, ˈCVG ou ˈCCVG, à exceção dos que são seguidos de glide (<i>, <u>), consoantes <r>, <l> ou marcador de nasalidade <m>",(?<=ˈ(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl)(a|á|â|ã|e|é|ê|i|í|î|o|ó|ô|õ|u|ú|û|ai|ei|oi|ui|ao|au|eu|iu|ou)(b|c|ç|d|f|gu|g|ch|nh|lh|j|l|m|n|p|qu|r|rr|s|ss|t|v|x|z|pr|br|tr|dr|cr|gr|fr|vr|pl|bl|cl|gl|fl))o(?![eiulrm]$),u,Origin Word: ˈmenos -> Processed Word: ˈmenus
